question,answers
Опишите одним словом ваше текущее состояние,абсолютно спокоен
Опишите одним словом ваше текущее состояние,в принципе всё спокойно
Опишите одним словом ваше текущее состояние,невозмутим
Опишите одним словом ваше текущее состояние,спокоен
Опишите одним словом ваше текущее состояние,спокойное
Опишите одним словом ваше текущее состояние,спокойствие
Опишите одним словом ваше текущее состояние,спокойствие и поддержка
Опишите одним словом ваше текущее состояние,умиротворение
Опишите одним словом ваше текущее состояние,адреналин
Опишите одним словом ваше текущее состояние,апатия
Опишите одним словом ваше текущее состояние,апатия и нервозность
Опишите одним словом ваше текущее состояние,аппатия
Опишите одним словом ваше текущее состояние,депрессия
Опишите одним словом ваше текущее состояние,депрессия диагностированная пс
Опишите одним словом ваше текущее состояние,меланхолия
Опишите одним словом ваше текущее состояние,прокрастинация
Опишите одним словом ваше текущее состояние,беззащитность
Опишите одним словом ваше текущее состояние,отсутствие безопасности
Опишите одним словом ваше текущее состояние,безисходность
Опишите одним словом ваше текущее состояние,безнадёжность
Опишите одним словом ваше текущее состояние,безысходность
Опишите одним словом ваше текущее состояние,отчаяние
Опишите одним словом ваше текущее состояние,бесит
Опишите одним словом ваше текущее состояние,беспокойство
Опишите одним словом ваше текущее состояние,беспокойство за семью
Опишите одним словом ваше текущее состояние,бспокойство
Опишите одним словом ваше текущее состояние,волнение
Опишите одним словом ваше текущее состояние,волнительное
Опишите одним словом ваше текущее состояние,временами беспокойно
Опишите одним словом ваше текущее состояние,легкая паника
Опишите одним словом ваше текущее состояние,не спокойно
Опишите одним словом ваше текущее состояние,немного паникую
Опишите одним словом ваше текущее состояние,немного тревоги
Опишите одним словом ваше текущее состояние,немного тревожное
Опишите одним словом ваше текущее состояние,нет паники. но волнение относи
Опишите одним словом ваше текущее состояние,обеспокоенность
Опишите одним словом ваше текущее состояние,очень волнуюсь
Опишите одним словом ваше текущее состояние,паника
Опишите одним словом ваше текущее состояние,паника шок тревога
Опишите одним словом ваше текущее состояние,переживание
Опишите одним словом ваше текущее состояние,переживание смирение волнение
Опишите одним словом ваше текущее состояние,переживания
Опишите одним словом ваше текущее состояние,переживают
Опишите одним словом ваше текущее состояние,тревога
Опишите одним словом ваше текущее состояние,тревога за судьбу сотрудников
Опишите одним словом ваше текущее состояние,тревога и неизв-ть будущего
Опишите одним словом ваше текущее состояние,тревога. страх. нервозность.
Опишите одним словом ваше текущее состояние,тревожно
Опишите одним словом ваше текущее состояние,тревожное
Опишите одним словом ваше текущее состояние,тревожность
Опишите одним словом ваше текущее состояние,беспомощ
Опишите одним словом ваше текущее состояние,бессилие
Опишите одним словом ваше текущее состояние,болеем
Опишите одним словом ваше текущее состояние,боль
Опишите одним словом ваше текущее состояние,страдание
Опишите одним словом ваше текущее состояние,боюсь
Опишите одним словом ваше текущее состояние,боязно
Опишите одним словом ваше текущее состояние,страх
Опишите одним словом ваше текущее состояние,страх будущего
Опишите одним словом ваше текущее состояние,страх и ужас
Опишите одним словом ваше текущее состояние,страшно
Опишите одним словом ваше текущее состояние,в ожидании
Опишите одним словом ваше текущее состояние,ожидание
