answers,sentiment,embeds,cluster
минотавр,neutral,[-0.42318112  6.12237   ],2
робота,neutral,[2.9611998 6.691211 ],12
привет,neutral,[0.0211279 6.0481224],2
пока,neutral,[1.1463424 5.6971536],3
продавец,neutral,[-1.0381212  5.7507772],0
интрига,neutral,[1.4022678 5.964033 ],3
ёж,neutral,[-0.39011958  5.225275  ],8
харошо,positive,[4.0738544 8.037269 ],7
сборщик,neutral,[-0.11522537 11.291103  ],10
имя,neutral,[0.12567768 4.9071903 ],13
борщик,neutral,[-0.31369904 11.378474  ],10
красота,positive,[ 4.389887 10.05598 ],6
првет,neutral,[0.44661036 5.4590836 ],4
вася,neutral,[0.6911555 5.23404  ],4
разработчик,negative,[-2.3064609  6.0083113],9
работа,neutral,[2.8405201 6.280542 ],12
суперниндзя,positive,[3.1736531 7.1097503],11
уборщик,neutral,[-0.7594853 11.481855 ],1
вася,neutral,[-0.87479675  6.0027018 ],0
продавец,neutral,[-1.0660716  5.35677  ],0
красивый,positive,[4.6397953 9.834951 ],6
шикарный,positive,[4.4058046 9.667197 ],14
отлично,positive,[4.3759093 8.491439 ],15
пылесос,neutral,[-0.97194535 11.225319  ],1
водопровод,neutral,[-0.13900727  5.673583  ],5
хорошо,positive,[4.523538 8.154585],7
директор,neutral,[-2.1642008  6.3605976],9
минотавр,neutral,[-0.41529122  6.36566   ],2
робота,neutral,[3.2258024 6.4761987],12
привет,neutral,[-0.0335466  6.287106 ],2
пока,neutral,[0.9361302 6.0691767],3
продавец,neutral,[-1.1290029  5.3330045],0
интрига,neutral,[1.2804128 6.1639943],3
ёж,neutral,[-0.31730333  5.0706053 ],8
харошо,positive,[4.1897373 7.9647245],7
сборщик,neutral,[-0.30972144 11.482298  ],10
имя,neutral,[0.30494285 4.974339  ],13
борщик,neutral,[-0.3808037 11.658218 ],10
красота,positive,[ 4.5749297 10.145835 ],6
првет,neutral,[0.45222452 5.672781  ],4
вася,neutral,[-0.5349046  5.6531296],5
разработчик,negative,[-2.1368954  5.991354 ],9
работа,neutral,[3.0182319 6.4528594],12
суперниндзя,positive,[3.2257981 6.9588504],11
уборщик,neutral,[-0.66961753 11.074274  ],1
вася,neutral,[0.02534749 5.3251023 ],8
продавец,neutral,[-1.0953922  5.5962534],0
красивый,positive,[4.680366 9.863552],6
шикарный,positive,[4.422323 9.443106],14
отлично,positive,[4.239243 8.577047],15
пылесос,neutral,[-0.90819037 10.941967  ],1
водопровод,neutral,[-0.19508645  5.796955  ],5
хорошо,positive,[4.154292 8.330097],15
директор,neutral,[-2.213548   6.2585773],9
